year,state.code,state.name,gender.female.math,gender.female.verbal,female.total.score,gender.male.math,gender.male.verbal,male.total.score
2010,MO,Missouri,588,584,1172,624,587,1211
2010,MT,Montana,588,593,1181,629,596,1225
2010,NE,Nebraska,569,576,1145,621,595,1216
2010,NV,Nevada,483,493,976,523,500,1023
2010,NH,New Hampshire,508,517,1025,542,524,1066
2010,NJ,New Jersey,498,493,991,532,498,1030
2010,NM,New Mexico,533,553,1086,567,552,1119
2010,NY,New York,485,482,967,516,487,1003
2010,NC,North Carolina,499,496,995,526,498,1024
2010,ND,North Dakota,578,587,1165,616,572,1188
2010,OH,Ohio,529,535,1064,569,543,1112
2010,OK,Oklahoma,545,565,1110,594,574,1168
2010,OR,Oregon,506,519,1025,547,527,1074
2010,PA,Pennsylvania,485,490,975,519,494,1013
2010,RI,Rhode Island,479,491,970,514,498,1012
2010,SC,South Carolina,482,483,965,511,487,998
2010,SD,South Dakota,575,578,1153,632,607,1239
2010,TN,Tennessee,552,574,1126,592,577,1169
2010,TX,Texas,491,481,972,522,488,1010
2010,UT,Utah,546,570,1116,573,565,1138
2010,VT,Vermont,504,516,1020,541,522,1063
2010,VA,Virginia,496,510,1006,531,514,1045
2010,WA,Washington,515,522,1037,551,527,1078
2010,WV,West Virginia,489,511,1000,530,521,1051
2010,WI,Wisconsin,587,596,1183,623,593,1216
2010,WY,Wyoming,555,569,1124,583,571,1154
2011,AL,Alabama,522,540,1062,564,553,1117
2011,AK,Alaska,495,511,1006,530,519,1049
2011,AZ,Arizona,506,513,1019,544,521,1065
2011,AR,Arkansas,552,561,1113,592,575,1167
2011,CA,California,498,494,992,536,505,1041
2011,CO,Colorado,558,570,1128,592,569,1161
2011,CT,Connecticut,499,507,1006,528,511,1039
2011,DE,Delaware,475,484,959,508,494,1002
2011,DC,District Of Columbia,436,457,893,481,483,964
2011,FL,Florida,476,487,963,505,488,993
2011,GA,Georgia,474,484,958,502,488,990
2011,HI,Hawaii,487,476,963,516,482,998
2011,ID,Idaho,522,540,1062,557,544,1101
2011,IL,Illinois,600,595,1195,635,603,1238
2011,IN,Indiana,485,489,974,519,497,1016
2011,IA,Iowa,586,591,1177,627,602,1229
2011,KS,Kansas,576,579,1155,608,581,1189
2011,KY,Kentucky,551,571,1122,594,581,1175
2011,LA,Louisiana,529,546,1075,577,567,1144
2011,ME,Maine,462,474,936,476,465,941
2011,MD,Maryland,487,497,984,518,502,1020
2011,MA,Massachusetts,512,509,1021,544,518,1062
2011,MI,Michigan,587,580,1167,624,586,1210
2011,MN,Minnesota,588,588,1176,630,598,1228
2011,MS,Mississippi,515,550,1065,577,583,1160
2011,MO,Missouri,575,589,1164,611,595,1206
2011,MT,Montana,525,539,1064,550,539,1089
2011,NE,Nebraska,570,585,1155,614,584,1198
2011,NV,Nevada,481,492,973,515,496,1011
2011,NH,New Hampshire,508,520,1028,543,525,1068
2011,NJ,New Jersey,502,492,994,531,499,1030
2011,NM,New Mexico,525,545,1070,560,551,1111
2011,NY,New York,486,482,968,514,488,1002
2011,NC,North Carolina,496,491,987,523,497,1020
2011,ND,North Dakota,584,578,1162,640,594,1234
2011,OH,Ohio,528,535,1063,564,544,1108
2011,OK,Oklahoma,545,565,1110,588,578,1166
2011,OR,Oregon,506,518,1024,541,523,1064
2011,PA,Pennsylvania,486,490,976,517,497,1014
2011,PR,Puerto Rico,445,464,909,460,447,907
2011,RI,Rhode Island,478,491,969,512,500,1012
2011,SC,South Carolina,477,479,956,505,485,990
2011,SD,South Dakota,560,565,1125,623,603,1226
2011,TN,Tennessee,550,573,1123,587,577,1164
2011,TX,Texas,489,476,965,516,482,998
2011,UT,Utah,541,564,1105,578,563,1141
2011,VT,Vermont,503,513,1016,536,518,1054
2011,VI,Virgin Islands,368,407,775,398,411,809
2011,VA,Virginia,494,509,1003,525,514,1039
2011,WA,Washington,513,521,1034,547,525,1072
2011,WV,West Virginia,481,509,990,525,520,1045
2011,WI,Wisconsin,586,587,1173,622,594,1216
2011,WY,Wyoming,557,574,1131,584,569,1153
2012,AL,Alabama,508,528,1036,561,550,1111
2012,AK,Alaska,493,509,1002,527,516,1043
2012,AZ,Arizona,508,514,1022,545,520,1065
2012,AR,Arkansas,548,560,1108,589,571,1160
2012,CA,California,493,490,983,535,502,1037
2012,CO,Colorado,564,572,1136,601,578,1179
2012,CT,Connecticut,497,504,1001,527,507,1034
2012,DE,Delaware,452,458,910,473,453,926
2012,DC,District Of Columbia,433,449,882,491,485,976
2012,FL,Florida,478,490,968,510,494,1004
2012,GA,Georgia,475,485,960,506,491,997
2012,HI,Hawaii,487,474,961,517,482,999
2012,ID,Idaho,522,543,1065,562,550,1112
2012,IL,Illinois,595,594,1189,636,598,1234
2012,IN,Indiana,483,488,971,522,500,1022
2012,IA,Iowa,585,595,1180,631,611,1242
2012,KS,Kansas,575,585,1160,615,583,1198
2012,KY,Kentucky,557,576,1133,597,582,1179
2012,LA,Louisiana,516,534,1050,561,552,1113
2012,ME,Maine,465,478,943,478,462,940
2012,MD,Maryland,488,495,983,519,498,1017
2012,MA,Massachusetts,514,509,1023,547,517,1064
2012,MI,Michigan,585,586,1171,622,585,1207
2012,MN,Minnesota,586,588,1174,630,596,1226
2012,MS,Mississippi,525,547,1072,568,578,1146
2012,MO,Missouri,574,587,1161,611,590,1201
2012,MT,Montana,520,534,1054,557,539,1096
2012,NE,Nebraska,560,571,1131,612,581,1193
2012,NV,Nevada,477,489,966,512,492,1004
2012,NH,New Hampshire,507,518,1025,546,525,1071
2012,NJ,New Jersey,501,491,992,534,498,1032
2012,NM,New Mexico,530,551,1081,562,549,1111
2012,NY,New York,486,481,967,516,486,1002
2012,NC,North Carolina,493,489,982,522,494,1016
2012,ND,North Dakota,590,574,1164,633,604,1237
2012,OH,Ohio,534,540,1074,572,547,1119
2012,OK,Oklahoma,546,562,1108,589,574,1163
2012,OR,Oregon,505,517,1022,544,525,1069
2012,PA,Pennsylvania,485,488,973,519,495,1014
2012,PR,Puerto Rico,443,459,902,459,450,909
2012,RI,Rhode Island,476,487,963,510,494,1004
2012,SC,South Carolina,475,478,953,504,484,988
2012,SD,South Dakota,583,580,1163,637,598,1235
2012,TN,Tennessee,553,573,1126,589,579,1168
2012,TX,Texas,485,472,957,514,477,991
2012,UT,Utah,547,563,1110,588,572,1160
2012,VT,Vermont,506,517,1023,543,522,1065
2012,VI,Virgin Islands,372,399,771,400,403,803
2012,VA,Virginia,496,508,1004,529,513,1042
2012,WA,Washington,513,516,1029,550,523,1073
2012,WV,West Virginia,484,514,998,525,519,1044
2012,WI,Wisconsin,586,592,1178,627,596,1223
2012,WY,Wyoming,570,570,1140,590,564,1154
2013,AL,Alabama,515,535,1050,559,555,1114
2013,AK,Alaska,489,504,993,526,513,1039
2013,AZ,Arizona,511,518,1029,548,526,1074
2013,AR,Arkansas,550,569,1119,592,575,1167
2013,CA,California,494,492,986,534,504,1038
2013,CO,Colorado,564,575,1139,601,580,1181
2013,CT,Connecticut,498,505,1003,527,510,1037
2013,DE,Delaware,446,451,897,468,450,918
2013,DC,District Of Columbia,446,462,908,487,485,972
2013,FL,Florida,476,491,967,506,494,1000
2013,GA,Georgia,473,486,959,504,494,998
2013,HI,Hawaii,490,478,968,523,485,1008
2013,ID,Idaho,446,457,903,471,450,921
2013,IL,Illinois,600,598,1198,635,603,1238
2013,IN,Indiana,484,489,973,519,499,1018
2013,IA,Iowa,581,583,1164,621,602,1223
2013,KS,Kansas,576,588,1164,615,590,1205
2013,KY,Kentucky,560,576,1136,608,593,1201
2013,LA,Louisiana,533,548,1081,578,565,1143
2013,ME,Maine,460,469,929,473,455,928
2013,MD,Maryland,487,495,982,514,498,1012
2013,MA,Massachusetts,514,511,1025,546,518,1064
2013,MI,Michigan,592,588,1180,631,592,1223
2013,MN,Minnesota,592,594,1186,626,596,1222
2013,MS,Mississippi,535,562,1097,564,576,1140
2013,MO,Missouri,577,592,1169,615,599,1214
2013,MT,Montana,521,534,1055,563,546,1109
2013,NE,Nebraska,566,581,1147,604,588,1192
2013,NV,Nevada,479,489,968,514,496,1010
2013,NH,New Hampshire,514,523,1037,545,526,1071
2013,NJ,New Jersey,508,496,1004,537,502,1039
2013,NM,New Mexico,530,549,1079,562,552,1114
2013,NY,New York,489,483,972,516,488,1004
2013,NC,North Carolina,493,493,986,521,499,1020
2013,ND,North Dakota,591,595,1186,635,629,1264
2013,OH,Ohio,538,544,1082,575,554,1129
2013,OK,Oklahoma,554,569,1123,585,574,1159
2013,OR,Oregon,503,517,1020,542,524,1066
2013,PA,Pennsylvania,489,491,980,520,497,1017
2013,PR,Puerto Rico,437,458,895,455,446,901
2013,RI,Rhode Island,477,489,966,506,493,999
2013,SC,South Carolina,474,481,955,502,487,989
2013,SD,South Dakota,567,573,1140,639,612,1251
2013,TN,Tennessee,550,570,1120,590,579,1169
2013,TX,Texas,487,474,961,512,479,991
2013,UT,Utah,549,573,1122,585,566,1151
2013,VT,Vermont,506,516,1022,533,516,1049
2013,VI,Virgin Islands,377,412,789,394,411,805
2013,VA,Virginia,500,514,1014,530,518,1048
2013,WA,Washington,508,512,1020,542,519,1061
2013,WV,West Virginia,488,513,1001,517,514,1031
2013,WI,Wisconsin,589,588,1177,622,594,1216
2013,WY,Wyoming,565,583,1148,613,579,1192
2014,AL,Alabama,516,537,1053,566,559,1125
2014,AK,Alaska,490,505,995,519,510,1029
2014,AZ,Arizona,509,518,1027,545,527,1072
2014,AR,Arkansas,549,562,1111,599,586,1185
2014,CA,California,492,492,984,532,505,1037
2014,CO,Colorado,568,579,1147,608,585,1193
2014,CT,Connecticut,496,506,1002,525,509,1034
2014,DE,Delaware,451,459,910,469,452,921
2014,DC,District Of Columbia,422,433,855,455,448,903
2014,FL,Florida,471,490,961,500,493,993
2014,GA,Georgia,472,486,958,499,490,989
2014,HI,Hawaii,492,481,973,520,487,1007
2014,ID,Idaho,447,463,910,466,454,920
2014,IL,Illinois,597,596,1193,636,603,1239
2014,IN,Indiana,484,492,976,520,503,1023
2014,IA,Iowa,590,600,1190,635,612,1247
2014,KS,Kansas,582,590,1172,612,592,1204
2014,KY,Kentucky,566,586,1152,606,592,1198
2014,LA,Louisiana,537,552,1089,581,572,1153
2014,ME,Maine,465,475,940,477,460,937
2014,MD,Maryland,482,493,975,508,492,1000
2014,MA,Massachusetts,516,512,1028,547,521,1068
2014,MI,Michigan,590,587,1177,632,600,1232
2014,MN,Minnesota,589,596,1185,635,600,1235
2014,MS,Mississippi,546,574,1120,590,595,1185
2014,MO,Missouri,578,597,1175,615,593,1208
2014,MT,Montana,537,555,1092,570,555,1125
2014,NE,Nebraska,564,584,1148,620,596,1216
2014,NV,Nevada,479,492,971,513,498,1011
2014,NH,New Hampshire,513,520,1033,549,528,1077
2014,NJ,New Jersey,509,497,1006,538,504,1042
2014,NM,New Mexico,528,547,1075,560,550,1110
2014,NY,New York,489,485,974,516,491,1007
2014,NC,North Carolina,494,496,990,523,502,1025
2014,ND,North Dakota,605,588,1193,634,635,1269
2014,OH,Ohio,545,551,1096,582,560,1142
2014,OK,Oklahoma,549,569,1118,595,583,1178
2014,OR,Oregon,505,519,1024,543,529,1072
2014,PA,Pennsylvania,489,493,982,521,501,1022
2014,PR,Puerto Rico,444,474,918,457,456,913
2014,RI,Rhode Island,481,493,974,514,503,1017
2014,SC,South Carolina,477,485,962,506,491,997
2014,SD,South Dakota,590,595,1185,629,613,1242
2014,TN,Tennessee,552,573,1125,589,583,1172
2014,TX,Texas,483,473,956,509,479,988
2014,UT,Utah,550,569,1119,587,573,1160
2014,VT,Vermont,510,519,1029,543,526,1069
2014,VI,Virgin Islands,373,408,781,396,412,808
2014,VA,Virginia,502,516,1018,531,520,1051
2014,WA,Washington,504,508,1012,535,512,1047
2014,WV,West Virginia,486,512,998,530,522,1052
2014,WI,Wisconsin,588,591,1179,632,602,1234
2014,WY,Wyoming,576,586,1162,622,595,1217
2015,AL,Alabama,514,535,1049,569,559,1128
2015,AK,Alaska,490,507,997,521,512,1033
2015,AZ,Arizona,510,518,1028,548,529,1077
2015,AR,Arkansas,551,562,1113,593,576,1169
2015,CA,California,488,490,978,527,502,1029
2015,CO,Colorado,570,580,1150,607,585,1192
2015,CT,Connecticut,492,503,995,520,505,1025
2015,DE,Delaware,453,465,918,471,460,931
2015,DC,District Of Columbia,427,440,867,453,443,896
2015,FL,Florida,468,486,954,494,486,980
2015,GA,Georgia,472,486,958,501,494,995
2015,HI,Hawaii,495,483,978,523,491,1014
2015,ID,Idaho,454,472,926,472,463,935
2015,IL,Illinois,598,595,1193,635,603,1238
2015,IN,Indiana,483,490,973,519,503,1022
2015,IA,Iowa,582,586,1168,622,594,1216
2015,KS,Kansas,571,581,1152,618,596,1214
2015,KY,Kentucky,565,583,1148,612,593,1205
2015,LA,Louisiana,537,551,1088,586,578,1164
2015,ME,Maine,465,476,941,479,461,940
2015,MD,Maryland,480,490,970,507,491,998
2015,MA,Massachusetts,514,512,1026,547,521,1068
2015,MI,Michigan,585,584,1169,636,604,1240
2015,MN,Minnesota,590,593,1183,627,597,1224
2015,MS,Mississippi,539,566,1105,596,599,1195
2015,MO,Missouri,585,597,1182,613,595,1208
2015,MT,Montana,542,558,1100,575,565,1140
2015,NE,Nebraska,575,586,1161,609,593,1202
2015,NV,Nevada,479,490,969,513,499,1012
2015,NH,New Hampshire,514,522,1036,548,528,1076
2015,NJ,New Jersey,507,497,1004,536,504,1040
2015,NM,New Mexico,526,546,1072,565,557,1122
2015,NY,New York,488,486,974,517,492,1009
2015,NC,North Carolina,491,494,985,520,502,1022
2015,ND,North Dakota,589,590,1179,630,606,1236
2015,OH,Ohio,545,550,1095,583,564,1147
2015,OK,Oklahoma,551,569,1120,589,583,1172
2015,OR,Oregon,503,518,1021,543,531,1074
2015,PA,Pennsylvania,489,494,983,521,504,1025
2015,PR,Puerto Rico,443,468,911,457,457,914
2015,RI,Rhode Island,481,491,972,509,497,1006
2015,SC,South Carolina,473,485,958,503,492,995
2015,SD,South Dakota,575,584,1159,623,602,1225
2015,TN,Tennessee,556,576,1132,592,586,1178
2015,TX,Texas,474,468,942,500,472,972
2015,UT,Utah,550,568,1118,601,590,1191
2015,VT,Vermont,510,521,1031,539,524,1063
2015,VI,Virgin Islands,379,408,787,401,422,823
2015,VA,Virginia,502,516,1018,532,521,1053
2015,WA,Washington,498,502,1000,525,503,1028
2015,WV,West Virginia,487,506,993,513,512,1025
2015,WI,Wisconsin,585,586,1171,627,597,1224
2015,WY,Wyoming,571,595,1166,604,582,1186
